ap001,1,2,ServiceID,2024-01-26T14:59:19.940928700,cancelled
ap003,1,2,ServiceID,2024-01-26T15:02:12.894454700,cancelled
ap004,1,2,ServiceID,2024-01-26T15:02:31.615898200,scheduled
ap005,1,2,ServiceID,2024-01-26T15:03:17.129114700,scheduled
ap006,1,2,ServiceID,2024-01-26T15:14:54.832727900,scheduled
ap007,1,2,ServiceID,2024-01-26T15:17:56.579011500,scheduled
ap008,1,2,ServiceID,2024-01-26T15:19:41.818583800,scheduled
ap009,1,2,ServiceID,2024-01-26T15:19:52.665523700,scheduled
ap010,1,2,ServiceID,2024-01-26T15:24:33.977135600,scheduled
ap011,1,2,ServiceID,2024-01-26T15:27:12.870709300,scheduled
ap012,1,2,ServiceID,2024-01-26T15:28:29.366201400,scheduled
ap013,1,2,ServiceID,2024-01-26T15:32:04.473298400,scheduled
ap014,1,2,ServiceID,2024-01-26T15:41:01.987837800,scheduled
ap015,1,2,ServiceID,2024-01-26T15:41:57.020781400,scheduled
ap016,1,2,ServiceID,2024-01-26T15:42:26.570010200,scheduled
ap017,1,2,ServiceID,2024-01-26T15:42:50.056009500,scheduled
ap018,1,2,ServiceID,2024-01-26T15:43:49.359056900,scheduled
ap019,1,2,ServiceID,2024-01-26T15:45:40.881052400,scheduled
ap020,1,2,ServiceID,2024-01-26T15:48:42.238905700,scheduled
ap021,1,2,ServiceID,2024-01-26T15:53:27.938837800,scheduled
ap022,1,2,ServiceID,2024-01-26T15:54:54.330716500,scheduled
ap023,1,2,ServiceID,2024-01-26T15:55:12.602630100,scheduled
ap024,1,2,ServiceID,2024-01-27T16:00:58.065512400,scheduled
ap025,1,2,ServiceID,2024-01-27T16:01:51.715443600,scheduled
ap026,1,2,ServiceID,2024-01-27T16:01:54.233325700,scheduled
ap027,1,2,ServiceID,2024-01-27T16:03:16.280581100,scheduled
ap002,1,2,ServiceID,2024-01-20T16:03:16.280581100,updated status
